label,tid,lat,lon,day,hour,category
6,126,40.841946028804074,-73.9419044295622,0,12,2
6,126,40.8362370139711,-73.9546531468926,0,12,0
6,126,40.833719045554886,-73.95219494610261,1,12,2
6,126,40.765774751247505,-73.88968098557721,3,17,0
6,126,40.76505987223018,-73.88738056666385,3,18,1
6,126,40.729752824341546,-73.8735422531439,3,12,1
6,126,40.76057629426023,-73.99626677132379,3,12,1
6,126,40.69210013810326,-73.98802873886358,3,12,3
6,126,40.83912648323704,-73.95152937642466,4,12,2
6,126,40.70258948642541,-74.00922193399798,4,16,1
6,126,40.910711184775124,-73.91270528755318,4,16,1
6,126,40.74597265168805,-73.98623593173157,4,16,1
6,126,40.6830916485541,-73.98399325109254,4,16,1
6,126,40.80572625312735,-73.96944176700832,5,12,0
6,126,40.8034536658578,-73.97094918413255,5,12,1
6,126,40.83777558866669,-73.94761899880301,5,12,2
6,126,40.76393023079973,-73.91470553747546,5,14,1
6,126,40.75406861321781,-73.94191837891172,5,17,1
6,131,40.6840573034041,-73.99469919524323,0,12,1
6,131,40.74643779795397,-73.99125758766364,0,17,1
6,131,40.75593111773733,-73.96255129504185,0,17,3
6,131,40.68891847196747,-73.80671905375253,0,18,1
6,131,40.74474438156713,-73.99380459844302,1,12,1
6,131,40.76973657652516,-73.88818297929298,1,17,1
6,131,40.750946676989685,-73.93258308640848,1,19,1
6,131,40.62896558705498,-73.94376279249023,1,20,1
6,131,40.63835570279289,-73.94195989354681,1,12,4
6,131,40.838662118350754,-73.95609154480677,1,12,0
6,131,40.83991547737051,-73.947686087556,2,12,2
6,131,40.823491320645104,-73.95089927151035,2,15,1
6,131,40.69787505332161,-73.9307032602204,2,17,1
6,131,40.690386266147385,-73.77003993488084,2,20,1
6,131,40.68183457169462,-73.87455498076211,2,12,1
6,131,40.82711502227713,-73.95824551138263,2,12,1
6,131,40.83582483295132,-73.86107190347444,3,17,1
6,131,40.695967905854474,-73.98121287788432,4,16,3
6,131,40.754702320022176,-73.88900889850389,4,17,1
6,131,40.77521251484532,-73.87123487538825,4,20,1
6,131,40.81072951916386,-73.94053643404673,4,16,1
6,131,40.8079066022091,-73.94871281854044,4,16,4
6,131,40.6904229304545,-73.97734687312673,4,16,1
6,133,40.83163537893225,-73.95297131057065,0,13,2
6,133,40.8201220824175,-73.96082718133162,0,15,1
6,133,40.70444248679806,-73.78861068583261,0,20,1
6,133,40.73834898013402,-73.93406271211039,4,16,1
6,133,40.76571438338388,-73.83559841311704,4,17,1
6,133,40.77925214979578,-73.84669348991643,4,17,1
6,133,40.755616942586045,-73.84028304017316,4,19,1
6,133,40.834098481272946,-73.95091983138751,5,12,0
6,133,40.83434514764477,-73.94750158324074,5,12,2
6,133,40.8377912125342,-73.9599699408112,6,8,2
6,135,40.689135611688386,-73.98129142842423,0,12,3
6,135,40.70567885476876,-73.99506614937614,0,12,1
6,135,40.82725297722746,-73.93195053956639,0,12,1
6,135,40.71002525154282,-73.99452434129249,1,12,1
6,135,40.69061257753302,-73.98274881973099,1,12,3
6,135,40.76811758724753,-73.99252093418669,1,12,1
6,135,40.64696352991987,-74.00481410346161,2,12,1
6,135,40.63738199386526,-73.97963968779128,2,12,1
6,135,40.6854699632876,-73.97660226117056,2,7,1
6,135,40.643552944695244,-73.97439415914174,2,7,1
6,135,40.656574272250424,-73.99788741043936,2,9,1
6,135,40.68630317661692,-73.98438358328472,3,14,1
6,135,40.83676108781029,-73.94827198631297,3,12,2
6,135,40.641054638361226,-73.95242480955254,4,16,1
7,143,40.79530060354401,-73.94256958573293,0,7,3
7,143,40.791363808026205,-73.95309173057954,1,8,3
7,143,40.777896771838556,-73.95897984060626,1,15,0
7,143,40.81022558796931,-73.94317361361514,2,9,3
7,143,40.773364510086964,-73.96322315720077,2,12,0
7,143,40.79825444955159,-73.97553730358537,3,8,4
7,143,40.78705581713248,-73.9651279658841,3,9,4
7,143,40.7917935146742,-73.94787880241107,4,7,3
7,143,40.81286069441367,-73.95224113225173,4,19,2
7,143,40.79913425508667,-73.94250036052595,5,12,4
7,143,40.81790662619997,-73.94960130400192,5,18,0
7,143,40.73955736558665,-74.00785908497106,5,12,3
7,143,40.68151814553667,-73.99306548222135,6,16,0
7,144,40.8109459957831,-73.95131405278276,1,12,0
7,144,40.79590197715689,-73.9494087977631,3,8,0
7,144,40.796567846720706,-73.95117563775908,3,12,3
7,144,40.77400235522319,-73.96553242274727,3,14,4
7,144,40.7760578102224,-73.95575986451637,3,14,0
7,144,40.81367021489669,-73.95256423599254,3,20,2
7,144,40.795431394761096,-73.94936862795781,4,8,0
7,144,40.77598440523971,-73.96142546854149,4,12,0
7,144,40.77906195323695,-73.96266082137059,4,17,4
7,144,40.779615183060656,-73.96502146402541,4,18,2
7,144,40.746438863387,-73.98519379667174,4,20,0
7,144,40.74935131396879,-73.93863242886196,5,7,2
7,144,40.81596372712184,-73.95753729458134,5,19,4
7,144,40.68049167904783,-73.99540783113967,6,15,0
7,144,40.684932798778306,-73.9687614335247,6,19,0
7,170,40.7646705300339,-73.9561106145678,0,18,0
7,170,40.80151237237979,-73.95400908424686,0,19,1
7,170,40.73427039075423,-74.00812982789408,0,12,0
7,170,40.78950432378579,-73.94386985547077,1,8,3
7,170,40.77220903400112,-73.96841877336315,1,9,0
7,170,40.810391881202946,-73.95239267147313,2,19,4
7,170,40.78503046061624,-73.94143044225108,4,8,3
7,170,40.775548670140694,-73.96392591179516,4,13,0
7,170,40.76535534456153,-73.95955261516552,4,17,0
7,170,40.768349437208514,-73.96303596415724,6,16,4
7,170,40.78256380621124,-73.96023605878632,6,15,0
7,170,40.76815336959217,-73.95774690362792,6,17,0
7,177,40.80034299630452,-73.9428948706312,2,9,0
7,177,40.75379025952671,-73.93418337426316,2,9,3
7,177,40.80546332586337,-73.94969292379152,2,15,4
7,177,40.81291531462003,-73.94444466031324,4,8,0
7,177,40.81395604524542,-73.93713165468704,4,12,0
7,177,40.810301364099274,-73.94426231107842,4,12,4
7,177,40.81999067280222,-73.9455546571238,4,17,3
7,177,40.802803673481236,-73.95596466235052,5,9,0
7,177,40.81330112803508,-73.95849263410251,6,7,0
7,177,40.76947573356111,-73.96446016033347,6,16,4
12,286,40.76721723068286,-73.83035572267305,0,18,0
12,286,40.76149270251872,-73.83278090155851,0,19,4
12,286,40.71151972997714,-73.80539319313299,1,7,0
12,286,40.76840468792025,-73.8333819994999,1,18,4
12,286,40.69907114345361,-73.79420847094785,2,12,0
12,286,40.77032796915401,-73.83449712789785,2,19,4
12,286,40.71365620631505,-73.79874326682817,3,8,0
12,286,40.71636609051157,-73.80313106275331,3,17,1
12,286,40.766656955869536,-73.82946747935544,3,18,4
12,286,40.69907307687927,-73.80609639383088,4,7,0
12,286,40.72295753720928,-74.00801697022449,4,18,4
12,286,40.71931322727133,-74.00163702315818,4,18,4
12,286,40.716648463790904,-74.00354132450353,4,18,0
12,286,40.761621343835856,-73.82847886181604,5,12,0
12,286,40.7141986868136,-73.80592170751821,5,7,1
12,286,40.62559107009102,-73.99538203722965,5,12,4
12,286,40.61624696913887,-73.99046441189181,5,17,4
12,286,40.61190523270298,-73.98049702610056,5,19,0
12,286,40.61682838264633,-74.00887500143777,5,20,0
12,286,40.64806625310112,-73.99787250741552,5,12,3
12,286,40.623274416362534,-73.99495890571903,6,16,4
12,286,40.62226449016262,-73.99805903642606,6,12,4
12,286,40.661831051742325,-73.89361431843768,6,12,0
12,286,40.65823067042757,-73.89294273055326,6,13,4
