tid,label,lat,lon,day,hour,category
127,6,40.8340978041072,-73.94526722258809,0,13,0
127,6,40.567196,-73.882576,0,19,1
127,6,40.689912719457396,-73.9815044403076,0,23,1
127,6,40.7085883614824,-73.9910316467285,0,23,1
127,6,40.833165200622396,-73.9418603427692,1,14,2
127,6,40.7085883614824,-73.9910316467285,1,17,1
127,6,40.7590904609109,-73.83005619049071,1,18,1
127,6,40.759478666551104,-73.8300985117754,1,21,1
127,6,40.689912719457396,-73.9815044403076,1,23,1
127,6,40.848758995215995,-73.9382779598236,3,0,1
127,6,40.848845833323004,-73.9384174346924,3,0,1
127,6,40.88214078989179,-74.0422647901029,3,1,1
127,6,40.914177997590706,-74.17763521463101,3,1,3
127,6,40.7572212983984,-73.9915466308594,3,3,1
127,6,40.7617816261867,-73.9850546682068,3,3,0
127,6,40.815540684618,-73.9584234721819,3,3,1
127,6,40.833165200622396,-73.9418603427692,4,18,2
127,6,40.8341815824087,-73.945187330246,4,22,1
127,6,40.8346576535679,-73.9451868588011,5,23,4
127,6,40.833165200622396,-73.9418603427692,6,20,2
127,6,40.8341610206876,-73.94503761167971,6,21,0
127,6,40.833165200622396,-73.9418603427692,6,23,2
128,6,40.660473835167,-73.83029108918642,0,17,1
128,6,40.6086420833785,-73.8190376758575,0,19,5
128,6,40.73405557647629,-73.8708472251892,0,20,4
128,6,40.733372474683705,-73.8711404741537,0,20,1
128,6,40.7631337910326,-73.8752118314646,0,21,1
128,6,40.7572212983984,-73.9915466308594,3,2,1
128,6,40.7564898726738,-73.9862680435181,3,2,5
128,6,40.815540684618,-73.9584234721819,3,2,1
128,6,40.833165200622396,-73.9418603427692,5,14,2
128,6,40.831282826478294,-73.941392502021,5,15,1
128,6,40.6900872257332,-73.9817776229191,5,17,3
128,6,40.8278390825735,-73.92576813697809,5,18,1
128,6,40.833165200622396,-73.9418603427692,6,0,2
128,6,40.7085883614824,-73.9910316467285,6,12,1
128,6,40.6914746462291,-73.9873838424683,6,13,1
128,6,40.7306323510853,-73.9996371281808,6,14,6
128,6,40.8002312249141,-73.8288116455078,6,20,5
128,6,40.86046649134129,-73.92554283142091,6,21,1
129,6,40.821344149632296,-73.9540386199951,0,12,1
129,6,40.6900872257332,-73.9817776229191,0,13,3
129,6,40.6897825572405,-73.9810752868652,0,14,0
129,6,40.6889893757358,-73.98129925131799,0,16,1
129,6,40.662169710863296,-73.86484090153671,0,17,1
129,6,40.6963140173316,-73.9906616720344,1,21,5
129,6,40.68875409408809,-73.9806412614152,1,22,0
129,6,40.7085883614824,-73.9910316467285,2,16,1
129,6,40.771059262528404,-73.9176545604588,2,17,1
129,6,40.7660790376824,-73.88352870941159,2,18,1
129,6,40.803291864361896,-73.9328276594543,2,21,1
129,6,40.6904333657826,-73.9852809906006,2,22,1
129,6,40.6900872257332,-73.9817776229191,3,16,3
129,6,40.689912719457396,-73.9815044403076,3,19,1
129,6,40.6963140173316,-73.9906616720344,3,21,5
129,6,40.68875409408809,-73.9806412614152,3,22,0
129,6,40.7661619622658,-73.9775764953862,3,23,1
129,6,40.833165200622396,-73.9418603427692,6,0,2
129,6,40.6900872257332,-73.9817776229191,6,9,3
129,6,40.7136501283367,-73.830267186553,6,13,1
129,6,40.6901232953871,-73.9840790213382,6,16,0
129,6,40.8079950658704,-73.9638555049896,6,17,1
130,6,40.833165200622396,-73.9418603427692,1,0,2
130,6,40.675536508907705,-73.8717549157205,1,17,1
130,6,40.6990888502098,-73.80676279569451,1,18,1
130,6,40.7519046092262,-73.9866960394024,1,22,1
130,6,40.7014573241921,-74.01321428847191,2,19,1
130,6,40.8332608333333,-73.94581555,3,4,6
130,6,40.8173027038574,-73.9585418701172,4,17,1
130,6,40.773839,-73.87122,4,20,1
130,6,40.7631337910326,-73.8752118314646,4,21,1
130,6,40.7592855009274,-73.83078575134279,6,11,1
130,6,40.7590904609109,-73.83005619049071,6,13,1
130,6,40.83429877508829,-74.0979492166034,6,19,1
130,6,40.914177997590706,-74.17763521463101,6,20,3
132,6,40.833165200622396,-73.9418603427692,3,3,2
132,6,40.6900872257332,-73.9817776229191,3,16,3
132,6,40.7700768232489,-73.917989730835,3,17,1
132,6,40.773839,-73.87122,3,19,1
132,6,40.833165200622396,-73.9418603427692,4,0,2
132,6,40.6996886534352,-73.80783123752809,4,19,1
132,6,40.6900872257332,-73.9817776229191,4,22,3
132,6,40.6904333657826,-73.9852809906006,4,22,1
132,6,40.833165200622396,-73.9418603427692,5,17,2
132,6,40.7085883614824,-73.9910316467285,6,18,1
132,6,40.833165200622396,-73.9418603427692,6,23,2
134,6,40.5769992443877,-73.98152589797971,0,1,3
134,6,40.6526759641946,-74.0021467208862,0,5,1
134,6,40.6557390232741,-73.90721698547141,0,7,1
134,6,40.61947411408449,-73.9899587631226,0,8,1
134,6,40.7085883614824,-73.9910316467285,0,20,1
134,6,40.6880585097395,-73.9804905425158,1,3,1
134,6,40.7085883614824,-73.9910316467285,1,20,1
134,6,40.6914746462291,-73.9873838424683,2,3,1
134,6,40.831282826478294,-73.941392502021,2,4,1
134,6,40.833165200622396,-73.9418603427692,2,4,2
134,6,40.8341815824087,-73.945187330246,2,18,1
134,6,40.6053194625755,-73.9804116926189,2,22,1
134,6,40.57745558120849,-73.9812469482422,3,1,1
134,6,40.7564898726738,-73.9862680435181,3,3,5
134,6,40.8341610206876,-73.94503761167971,3,4,0
134,6,40.57745558120849,-73.9812469482422,3,22,1
134,6,40.6900872257332,-73.9817776229191,4,2,3
134,6,40.815540684618,-73.9584234721819,4,4,1
134,6,40.8192174354861,-73.9571721746063,5,8,1
134,6,40.7564898726738,-73.9862680435181,6,1,5
134,6,40.85594702018521,-73.9008381921455,6,22,0
134,6,40.8660975573721,-73.8943862915039,6,23,1
137,6,40.833165200622396,-73.9418603427692,1,18,2
137,6,40.6880585097395,-73.9804905425158,1,20,1
137,6,40.7679967046751,-73.9818906784058,3,4,1
137,6,40.833165200622396,-73.9418603427692,3,6,2
137,6,40.6900872257332,-73.9817776229191,4,2,3
137,6,40.69014050272521,-73.9819765090942,4,3,0
137,6,40.750724,-73.987128,4,4,0
137,6,40.7497034836652,-73.9878129959106,4,5,1
137,6,40.7519046092262,-73.9866960394024,4,5,1
137,6,40.689912719457396,-73.9815044403076,4,7,1
137,6,40.833165200622396,-73.9418603427692,4,9,2
137,6,40.833165200622396,-73.9418603427692,4,18,2
137,6,40.5937675777609,-74.1353130340576,5,15,3
137,6,40.6336490127072,-74.1299458294018,5,16,1
137,6,40.744982701929395,-73.90409938347992,5,19,1
137,6,40.7669064372843,-73.9213804898498,5,19,1
137,6,40.726102567113706,-73.8951482014169,5,21,0
137,6,40.775234999999995,-73.9348447322845,5,23,1
137,6,40.76500642014821,-73.88726234436041,6,0,1
138,6,40.833165200622396,-73.9418603427692,0,13,2
138,6,40.630727792284006,-73.9771270751953,0,21,1
138,6,40.6347866881065,-74.02351989123409,1,1,1
138,6,40.6900872257332,-73.9817776229191,1,3,3
138,6,40.756506126666295,-73.9880275726318,1,4,1
138,6,40.7600867919055,-73.99918377442721,1,5,1
138,6,40.7317954706149,-73.9856725931168,1,6,0
138,6,40.7348919181315,-73.9912194013596,1,7,1
138,6,40.7199733783619,-73.97875785827641,1,8,1
138,6,40.7378241119311,-74.00020077824591,2,23,1
138,6,40.7269335438612,-74.005880355835,3,0,1
138,6,40.68875409408809,-73.9806412614152,3,4,0
138,6,40.8278390825735,-73.92576813697809,3,5,1
138,6,40.833165200622396,-73.9418603427692,3,6,2
138,6,40.756506126666295,-73.9880275726318,4,0,1
138,6,40.6900872257332,-73.9817776229191,4,2,3
138,6,40.689912719457396,-73.9815044403076,4,3,1
138,6,40.815540684618,-73.9584234721819,4,5,1
139,6,40.756506126666295,-73.9880275726318,0,0,1
139,6,40.6900872257332,-73.9817776229191,0,2,3
139,6,40.6904333657826,-73.9852809906006,0,3,1
139,6,40.815540684618,-73.9584234721819,0,4,1
139,6,40.6900872257332,-73.9817776229191,0,20,3
139,6,40.6880585097395,-73.9804905425158,0,20,1
139,6,40.7795008576189,-73.9558461945179,0,21,1
139,6,40.8278390825735,-73.92576813697809,1,4,1
139,6,40.833165200622396,-73.9418603427692,2,0,2
139,6,40.689612,-73.981096,2,20,0
139,6,40.7085883614824,-73.9910316467285,2,21,1
139,6,40.7540712357943,-73.9844635415781,2,23,4
139,6,40.7586233891381,-73.98165136086159,3,1,1
139,6,40.711634904081286,-74.01029350146509,3,3,1
139,6,40.8340978041072,-73.94526722258809,3,4,0
141,7,40.7778713492554,-73.9547613949466,0,12,0
141,7,40.7719139204579,-73.95900893890409,0,14,4
141,7,40.772890999999994,-73.958314,0,18,4
141,7,40.80159564768029,-73.94871711730958,0,19,4
141,7,40.8100901727589,-73.9432668685913,2,9,0
141,7,40.7713022794736,-73.961580379552,2,9,0
141,7,40.7245918871832,-73.9971470832825,2,19,4
141,7,40.726535999999996,-74.002342,2,20,0
141,7,40.742670000000004,-73.98247928,3,18,0
141,7,40.7428634599968,-73.98241467112591,3,19,4
141,7,40.8100901727589,-73.9432668685913,4,9,0
141,7,40.773649259291396,-73.98402163019159,4,20,7
141,7,40.773045,-73.962333,5,10,4
141,7,40.7713022794736,-73.961580379552,5,11,0
141,7,40.788449729771294,-73.9488726854324,5,20,0
141,7,40.77211112865999,-73.96095474201341,6,10,0
141,7,40.7719139204579,-73.95900893890409,6,12,4
141,7,40.7740337440581,-73.9668488502502,6,13,5
142,7,40.7933676541078,-73.9482980610387,0,7,3
142,7,40.809270003135204,-73.9490711688995,0,8,5
142,7,40.77211112865999,-73.96095474201341,0,16,0
142,7,40.793673777441896,-73.9488433773094,1,7,3
142,7,40.809270003135204,-73.9490711688995,1,8,5
142,7,40.7719139204579,-73.95900893890409,1,10,4
142,7,40.809270003135204,-73.9490711688995,1,21,5
142,7,40.8100901727589,-73.9432668685913,2,9,0
142,7,40.725535930757104,-73.9967849987352,2,19,4
142,7,40.7264538361829,-73.9985954761505,2,19,0
142,7,40.793673777441896,-73.9488433773094,3,8,3
